,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
159,2015,9,silverstone,bottas,Finnish,williams,4,5,67,0,5,129,0,3,0.9010000000000105,25,0.06399999999999295
162,2015,9,silverstone,raikkonen,Finnish,ferrari,5,8,72,0,4,192,1,2,1.1310000000000002,35,0.22999999999998977
157,2015,9,silverstone,vettel,German,ferrari,6,3,120,1,3,192,1,2,1.2990000000000066,28,0.16800000000000637
160,2015,9,silverstone,kvyat,Russian,red_bull,7,6,19,0,8,55,0,4,1.3880000000000052,21,0.08899999999999864
168,2015,9,silverstone,sainz,Spanish,toro_rosso,8,14,9,0,15,19,0,8,1.4010000000000105,20,0.01300000000000523
161,2015,9,silverstone,hulkenberg,German,force_india,9,7,18,0,9,31,0,5,1.4250000000000114,27,0.02400000000000091
169,2015,9,silverstone,ricciardo,Australian,red_bull,10,15,36,0,7,55,0,4,1.6950000000000074,26,0.269999999999996
163,2015,9,silverstone,perez,Mexican,force_india,11,9,13,0,12,31,0,5,2.0200000000000102,25,0.32500000000000284
171,2015,9,silverstone,grosjean,French,lotus_f1,12,17,17,0,10,29,0,6,2.1820000000000164,29,0.16200000000000614
170,2015,9,silverstone,max_verstappen,Dutch,toro_rosso,13,16,10,0,14,19,0,8,2.254000000000019,17,0.07200000000000273
172,2015,9,silverstone,maldonado,Venezuelan,lotus_f1,14,18,12,0,13,29,0,6,2.2630000000000052,30,0.00899999999998613
165,2015,9,silverstone,ericsson,Swedish,sauber,15,11,5,0,16,21,0,7,2.6200000000000045,24,0.3569999999999993
174,2015,9,silverstone,nasr,Brazilian,sauber,16,20,16,0,11,21,0,7,2.640000000000015,22,0.020000000000010232
164,2015,9,silverstone,alonso,Spanish,mclaren,17,10,0,0,18,4,0,9,2.7110000000000127,33,0.07099999999999795
173,2015,9,silverstone,button,British,mclaren,18,19,4,0,17,4,0,9,2.959000000000003,35,0.24799999999999045
167,2015,9,silverstone,stevens,British,manor,19,13,0,0,20,0,0,10,5.116000000000014,24,2.1570000000000107
166,2015,9,silverstone,merhi,Spanish,manor,20,12,0,0,19,0,0,10,7.129000000000019,24,2.0130000000000052
180,2015,10,hungaroring,hamilton,British,mercedes,1,6,194,5,1,371,8,1,0.0,30,
182,2015,10,hungaroring,rosberg,German,mercedes,2,8,177,3,2,371,8,1,0.5750000000000028,30,0.5750000000000028
175,2015,10,hungaroring,vettel,German,ferrari,3,1,135,1,3,211,1,2,0.7190000000000083,28,0.14400000000000546
177,2015,10,hungaroring,ricciardo,Australian,red_bull,4,3,36,0,7,63,0,4,0.7540000000000049,26,0.03499999999999659
192,2015,10,hungaroring,raikkonen,Finnish,ferrari,5,18,76,0,5,211,1,2,1.0,35,0.2459999999999951
187,2015,10,hungaroring,bottas,Finnish,williams,6,13,77,0,4,151,0,3,1.2020000000000124,25,0.2020000000000124
176,2015,10,hungaroring,kvyat,Russian,red_bull,7,2,27,0,8,63,0,4,1.3119999999999976,21,0.10999999999998522
186,2015,10,hungaroring,massa,Brazilian,williams,8,12,74,0,6,151,0,3,1.5170000000000101,34,0.2050000000000125
178,2015,10,hungaroring,max_verstappen,Dutch,toro_rosso,9,4,10,0,14,19,0,8,1.659000000000006,17,0.1419999999999959
181,2015,10,hungaroring,grosjean,French,lotus_f1,10,7,17,0,10,29,0,6,2.1610000000000014,29,0.5019999999999953
194,2015,10,hungaroring,hulkenberg,German,force_india,11,20,24,0,9,39,0,5,1.8059999999999974,27,-0.355000000000004
191,2015,10,hungaroring,sainz,Spanish,toro_rosso,12,17,9,0,15,19,0,8,1.8490000000000038,20,0.043000000000006366
193,2015,10,hungaroring,perez,Mexican,force_india,13,19,15,0,12,39,0,5,2.4410000000000025,25,0.5919999999999987
188,2015,10,hungaroring,maldonado,Venezuelan,lotus_f1,14,14,12,0,13,29,0,6,2.589000000000013,30,0.14800000000001035
183,2015,10,hungaroring,button,British,mclaren,16,9,4,0,17,5,0,9,2.7190000000000083,35,0.12999999999999545
184,2015,10,hungaroring,ericsson,Swedish,sauber,17,10,5,0,16,21,0,7,2.8230000000000075,24,0.1039999999999992
185,2015,10,hungaroring,nasr,Brazilian,sauber,18,11,16,0,11,21,0,7,2.977000000000004,22,0.15399999999999636
189,2015,10,hungaroring,merhi,Spanish,manor,19,15,0,0,19,0,0,10,5.396000000000001,24,2.418999999999997
190,2015,10,hungaroring,stevens,British,manor,20,16,0,0,20,0,0,10,5.929000000000002,24,0.5330000000000013
195,2015,11,spa,hamilton,British,mercedes,1,1,202,5,1,383,8,1,0.0,30,
196,2015,11,spa,rosberg,German,mercedes,2,2,181,3,2,383,8,1,0.4579999999999984,30,0.4579999999999984
203,2015,11,spa,bottas,Finnish,williams,3,9,77,0,4,151,0,3,1.3400000000000034,25,0.882000000000005
199,2015,11,spa,perez,Mexican,force_india,4,5,15,0,13,39,0,5,1.4019999999999868,25,0.0619999999999834
212,2015,11,spa,ricciardo,Australian,red_bull,5,18,51,0,7,96,0,4,1.4420000000000073,26,0.040000000000020464
200,2015,11,spa,massa,Brazilian,williams,6,6,74,0,6,151,0,3,1.4879999999999995,34,0.04599999999999227
213,2015,11,spa,maldonado,Venezuelan,lotus_f1,7,19,12,0,14,35,0,6,1.556999999999988,30,0.0689999999999884
206,2015,11,spa,vettel,German,ferrari,8,12,160,2,3,236,2,2,1.6280000000000001,28,0.07100000000001216
197,2015,11,spa,grosjean,French,lotus_f1,9,3,23,0,10,35,0,6,1.3640000000000043,29,-0.2639999999999958
211,2015,11,spa,sainz,Spanish,toro_rosso,10,17,9,0,16,31,0,7,2.573999999999998,20,1.2099999999999937
214,2015,11,spa,hulkenberg,German,force_india,11,20,24,0,9,39,0,5,1.9240000000000066,28,-0.6499999999999915
198,2015,11,spa,kvyat,Russian,red_bull,12,4,45,0,8,96,0,4,2.031000000000006,21,0.10699999999999932
204,2015,11,spa,ericsson,Swedish,sauber,13,10,6,0,18,22,0,8,2.388999999999996,24,0.3579999999999899
205,2015,11,spa,nasr,Brazilian,sauber,14,11,16,0,12,22,0,8,2.7549999999999955,23,0.36599999999999966
210,2015,11,spa,stevens,British,manor,15,16,0,0,20,0,0,10,5.751000000000005,24,2.9960000000000093
209,2015,11,spa,merhi,Spanish,manor,17,15,0,0,19,0,0,10,5.901999999999987,24,0.15099999999998204
208,2015,11,spa,button,British,mclaren,19,14,6,0,17,17,0,9,3.781000000000006,35,-2.120999999999981
207,2015,11,spa,alonso,Spanish,mclaren,20,13,11,0,15,17,0,9,4.222999999999999,34,0.44199999999999307
215,2015,12,monza,hamilton,British,mercedes,1,1,227,6,1,426,9,1,0.0,30,
